Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_41:2	ConstantProduct	856.6789820580206	184.07332101418055		Positive	C49H95O8N1P1	C5H15O4N1P1	0	120	
PC_41:3	ConstantProduct	854.6633319938807	184.07332101418055		Positive	C49H93O8N1P1	C5H15O4N1P1	0	120	
PC_41:4	ConstantProduct	852.6476819297405	184.07332101418055		Positive	C49H91O8N1P1	C5H15O4N1P1	0	120	
PC_41:5	ConstantProduct	850.6320318656007	184.07332101418055		Positive	C49H89O8N1P1	C5H15O4N1P1	0	120	
PC_41:6	ConstantProduct	848.6163818014605	184.07332101418055		Positive	C49H87O8N1P1	C5H15O4N1P1	0	120	
PC_41:7	ConstantProduct	846.6007317373206	184.07332101418055		Positive	C49H85O8N1P1	C5H15O4N1P1	0	120	
PC_41:8	ConstantProduct	844.5850816731805	184.07332101418055		Positive	C49H83O8N1P1	C5H15O4N1P1	0	120	
PC_41:9	ConstantProduct	842.5694316090406	184.07332101418055		Positive	C49H81O8N1P1	C5H15O4N1P1	0	120	
PC_41:10	ConstantProduct	840.5537815449005	184.07332101418055		Positive	C49H79O8N1P1	C5H15O4N1P1	0	120	
PC_39:11	ConstantProduct	810.5068313524806	184.07332101418055		Positive	C47H73O8N1P1	C5H15O4N1P1	0	120	
PC_41:11	ConstantProduct	838.5381314807606	184.07332101418055		Positive	C49H77O8N1P1	C5H15O4N1P1	0	120	
PC_42:0	ConstantProduct	874.7259322504407	184.07332101418055		Positive	C50H101O8N1P1	C5H15O4N1P1	0	120	
PC_42:1	ConstantProduct	872.7102821863006	184.07332101418055		Positive	C50H99O8N1P1	C5H15O4N1P1	0	120	
PC_42:2	ConstantProduct	870.6946321221607	184.07332101418055		Positive	C50H97O8N1P1	C5H15O4N1P1	0	120	
PC_42:3	ConstantProduct	868.6789820580206	184.07332101418055		Positive	C50H95O8N1P1	C5H15O4N1P1	0	120	
PC_42:4	ConstantProduct	866.6633319938807	184.07332101418055		Positive	C50H93O8N1P1	C5H15O4N1P1	0	120	
PC_42:5	ConstantProduct	864.6476819297405	184.07332101418055		Positive	C50H91O8N1P1	C5H15O4N1P1	0	120	
PC_42:6	ConstantProduct	862.6320318656007	184.07332101418055		Positive	C50H89O8N1P1	C5H15O4N1P1	0	120	
PC_42:7	ConstantProduct	860.6163818014605	184.07332101418055		Positive	C50H87O8N1P1	C5H15O4N1P1	0	120	
PC_42:8	ConstantProduct	858.6007317373206	184.07332101418055		Positive	C50H85O8N1P1	C5H15O4N1P1	0	120	
PC_42:9	ConstantProduct	856.5850816731805	184.07332101418055		Positive	C50H83O8N1P1	C5H15O4N1P1	0	120	
PC_42:10	ConstantProduct	854.5694316090406	184.07332101418055		Positive	C50H81O8N1P1	C5H15O4N1P1	0	120	
